id;insumo;stock
ITEM-0001;Guante Nitrilo Talla M;500
ITEM-0002;Guante Nitrilo Talla S;499
ITEM-0003;Guante Nitrilo Talla L;498
ITEM-0004;Alcohol 70% 1L;497
ITEM-0005;Alcohol 70% 500ml;496
ITEM-0006;Alcohol Gel 1L;495
ITEM-0007;Gasas 10x10;494
ITEM-0008;Gasas 5x5;493
ITEM-0009;Vendas Elásticas 10cm;492
ITEM-0010;Jeringa 5ml;491
ITEM-0011;Jeringa 10ml;490
ITEM-0012;Jeringa 20ml;489
ITEM-0013;Aguja 21G;488
ITEM-0014;Aguja 23G;487
ITEM-0015;Aguja 25G;486
ITEM-0016;Mascarilla N95;485
ITEM-0017;Mascarilla Quirúrgica;484
ITEM-0018;Mascarilla KN95;483
ITEM-0019;Termómetro Digital;482
ITEM-0020;Estetoscopio;481
ITEM-0021;Tensiómetro;480
ITEM-0022;Suero Fisiológico 500ml;479
ITEM-0023;Suero Fisiológico 1000ml;478
ITEM-0024;Suero Glucosado 5%;477
ITEM-0025;Catéter IV 18G;476
ITEM-0026;Catéter IV 20G;475
ITEM-0027;Catéter IV 22G;474
ITEM-0028;Apósito Adhesivo 10x10;473
ITEM-0029;Apósito Hidrocoloide;472
ITEM-0030;Cinta Micropore;471
ITEM-0031;Bata Quirúrgica;470
ITEM-0032;Gorro Quirúrgico;469
ITEM-0033;Cubre Zapatos;468
ITEM-0034;Algodón 500g;467
ITEM-0035;Hisopos Estériles;466
ITEM-0036;Lancetas;465
ITEM-0037;Guantes Látex M;464
ITEM-0038;Guantes Látex S;463
ITEM-0039;Guantes Látex L;462
ITEM-0040;Bisturí Desechable;461
ITEM-0041;Pinza Kelly;460
ITEM-0042;Pinza Kocher;459
ITEM-0043;Sonda Foley 16F;458
ITEM-0044;Sonda Foley 18F;457
ITEM-0045;Sonda Nasogástrica;456
ITEM-0046;Oxímetro de Pulso;455
ITEM-0047;Nebulizador;454
ITEM-0048;Glucómetro;453
ITEM-0049;Guante Nitrilo Talla M;452
ITEM-0050;Guante Nitrilo Talla S;451
ITEM-0051;Guante Nitrilo Talla L;450
ITEM-0052;Alcohol 70% 1L;449
ITEM-0053;Alcohol 70% 500ml;448
ITEM-0054;Alcohol Gel 1L;447
ITEM-0055;Gasas 10x10;446
ITEM-0056;Gasas 5x5;445
ITEM-0057;Vendas Elásticas 10cm;444
ITEM-0058;Jeringa 5ml;443
